GENERO,ANTIGÜEDAD,EDAD,NIVEL,EST_UNIV,SALARIO_ANUAL
0,"0,4","31,8",2,,
0,"0,9","28,9",3,,
1,"4,7","35,6",3,,
1,"1,2","42,2",2,,
1,"1,9","22,7",3,,
1,"2,9","26,1",3,,
1,"0,4","37,3",3,,
1,"5,9","42,0",2,,
0,"10,9","34,9",2,,
0,"6,5","45,7",2,,
1,"4,9","31,0",3,,
1,"1,9","32,7",3,,
0,"4,5","34,8",2,,
0,"8,8","46,3",2,,
1,"2,7","25,3",2,,
1,"0,4","51,3",2,,
1,"3,1","27,4",2,1,
1,"1,2","35,5",2,,
1,"1,0","37,0",2,,
1,"6,2","48,0",2,,
0,"0,9","28,9",3,,
0,"5,9","31,4",3,,
1,"6,9","36,1",3,,
1,"0,2","24,0",3,,19000
1,"2,5","27,1",3,,
1,"1,0","35,6",2,,
1,"1,0","41,2",1,,
1,"5,5","42,3",3,,
1,"0,8","26,6",3,,
0,"2,0","43,8",2,,
0,"1,2","41,8",2,,
0,"6,0","40,7",2,,
0,"6,9","36,3",2,,
0,"1,0","21,6",2,,
0,"4,0","33,6",1,,
0,"4,5","59,6",2,,
0,"11,7","47,9",2,,
0,"6,9","34,7",2,,
0,"16,4","39,9",2,,
0,"0,4","42,2",3,,
0,"23,2","48,4",1,,
1,"0,4","30,7",3,,
1,"0,9","21,5",3,,
1,"0,9","24,9",3,,
1,"4,9","26,7",3,,
1,"17,0","40,4",2,,
1,"9,3","40,5",3,,
1,"8,3","45,4",3,,
0,"0,6","28,4",2,,
1,"14,2","41,3",2,1,
1,"5,0","30,5",3,,
0,"1,9","21,9",3,,
0,"3,9","30,6",2,,
0,"0,9","24,1",2,,
0,"3,7","51,0",2,,
0,"11,7","47,3",2,,
1,"11,3","43,4",1,,
1,"6,1","38,5",3,,
1,"3,1","46,2",2,,
1,"22,2","48,8",1,,
1,"0,9","35,7",2,,
1,"3,2","41,1",2,,
1,"0,9","34,4",3,,
1,"3,2","40,9",3,,
1,"22,6","48,6",1,,
1,"18,5","51,8",1,,
1,"0,8","30,1",3,1,21000
1,"0,6","39,4",1,,
1,"1,9","27,4",3,,
0,"3,9","30,8",2,,
0,"1,2","49,2",2,,
1,"3,0","28,0",2,,
0,"3,1","38,7",2,,
1,"9,1","38,6",2,,
1,"5,1","50,6",1,,
0,"17,9","40,4",3,,
0,"0,4","21,5",3,,
0,"2,9","37,3",2,,
0,"4,9","24,7",3,,
1,"0,9","26,4",2,,
1,"6,4","30,9",3,,
1,"2,9","24,7",3,,
1,"4,9","24,9",3,,
1,"15,5","39,3",2,,
0,"1,8","38,5",2,,
1,"2,7","26,0",3,,
1,"0,9","27,0",3,0,19000
1,"1,9","29,9",2,,
1,"1,6","30,6",3,,
1,"6,7","33,6",3,,
1,"5,9","29,4",3,,
1,"2,2","33,0",3,,
1,"0,9","28,7",3,,
1,"8,3","32,5",2,,
1,"18,0","40,8",1,,
1,"2,9","24,8",3,,
1,"0,8","37,3",2,,
1,"2,1","43,4",2,,
1,"2,3","42,5",2,,
1,"1,3","48,7",1,,
1,"0,1","32,0",2,,
1,"7,4","27,4",3,,
1,"2,9","38,2",3,,
1,"0,9","27,9",3,,
1,"15,9","48,0",1,,
1,"2,9","34,7",3,,
1,"1,5","41,1",2,,
1,"9,6","38,4",2,,
1,"5,3","49,8",1,,
1,"11,7","38,5",2,,
0,"1,5","29,4",3,,
0,"3,9","37,3",2,,
0,"0,4","40,6",2,,
0,"18,6","47,5",2,,
1,"6,1","36,2",1,,
0,"0,5","27,5",3,,
0,"0,9","28,4",2,,
0,"4,5","34,2",2,,
0,"3,9","28,7",3,,
1,"2,7","36,3",2,1,
1,"5,5","48,1",3,,
0,"2,5","27,6",2,,
1,"1,2","26,5",2,,
1,"5,7","44,0",2,,
1,"5,9","32,2",3,,
1,"6,7","32,8",2,,
0,"0,6","28,1",2,,
0,"6,2","43,6",2,,
